Time,Arm_Angle,Error,MotorCmd,Headroom,K_P,Motor_Speed(PWM),Desired_Angle
0.015957594,-39,9,110,336,5,65,-30
0.037918568,-39,9,110,336,5,65,-30
0.056877136,-39,9,110,336,5,65,-30
0.077803612,-39,9,110,336,5,65,-30
0.097848892,-39,9,110,336,5,65,-30
0.11876297,-38,8,109,336,5,65,-30
0.138704777,-39,9,110,336,5,65,-30
0.159650087,-38,8,107,336,5,65,-30
0.180631399,-39,9,110,336,5,65,-30
0.204529524,-39,9,110,336,5,65,-30
0.226503372,-39,9,110,336,5,65,-30
0.246483803,-38,8,108,336,5,65,-30
0.266365528,-39,9,110,336,5,65,-30
0.288305759,-39,9,110,336,5,65,-30
0.30725503,-39,9,110,336,5,65,-30
0.327203274,-39,9,110,336,5,65,-30
0.349141598,-38,8,109,336,5,65,-30
0.368124008,-39,9,110,336,5,65,-30
0.393041611,-38,8,109,336,5,65,-30
0.4150002,-39,9,110,336,5,65,-30
0.433916807,-39,9,110,336,5,65,-30
0.454860926,-39,9,110,336,5,65,-30
0.476895809,-38,8,109,336,5,65,-30
0.495774269,-39,9,110,336,5,65,-30
0.515730143,-38,8,109,336,5,65,-30
0.538635731,-39,9,110,336,5,65,-30
0.55658865,-38,8,109,336,5,65,-30
0.581576109,-39,9,110,336,5,65,-30
0.603497028,-39,9,110,336,5,65,-30
0.62241292,-39,9,110,336,5,65,-30
0.643369913,-39,9,110,336,5,65,-30
0.664300203,-39,9,110,336,5,65,-30
0.758080244,-39,9,110,336,5,65,-30
0.770029783,-39,9,110,336,5,65,-30
0.780987978,-38,8,109,336,5,65,-30
0.802928448,-39,9,110,336,5,65,-30
0.812952995,-39,9,110,336,5,65,-30
0.834842205,-39,9,110,336,5,65,-30
0.846814394,-39,9,110,336,5,65,-30
0.868752241,-39,9,110,336,5,65,-30
0.879722595,-39,9,110,336,5,65,-30
0.890692472,-39,9,112,336,5,65,-30
0.912652493,-39,9,110,336,5,65,-30
0.92460227,-39,9,110,336,5,65,-30
0.946543694,-39,9,110,336,5,65,-30
