Time,Arm_Angle,Error,MotorCmd,Headroom,K_P,Motor_Speed(PWM),Desired_Angle
0.05284214,0,0,123,272,5,120,0
0.074784279,-1,1,125,272,5,120,0
0.085753202,0,0,123,272,5,120,0
0.106708288,0,0,123,272,5,120,0
0.117701769,0,0,123,272,5,120,0
0.138616323,0,0,123,272,5,120,0
0.149582863,0,0,123,272,5,120,0
0.164579153,0,0,123,272,5,120,0
0.185519695,-1,1,125,272,5,120,0
0.269261122,0,0,123,272,5,120,0
0.291264057,0,0,123,272,5,120,0
0.302207947,0,0,123,272,5,120,0
0.324148655,0,0,123,272,5,120,0
0.335085869,0,0,123,272,5,120,0
0.356029987,0,0,123,272,5,120,0
0.367001057,0,0,123,272,5,120,0
0.377995253,0,0,123,272,5,120,0
0.399927855,0,0,123,272,5,120,0
0.409940243,0,0,123,272,5,120,0
0.430913687,0,0,123,272,5,120,0
0.441802025,0,0,123,272,5,120,0
0.464773893,0,0,123,272,5,120,0
0.476709127,0,0,123,272,5,120,0
0.497689486,0,0,123,272,5,120,0
0.517613411,0,0,124,272,5,120,0
0.53754425,0,0,124,272,5,120,0
0.562479258,0,0,123,272,5,120,0
0.582438469,0,0,124,272,5,120,0
0.604367971,0,0,124,272,5,120,0
0.623342752,0,0,124,272,5,120,0
0.644317865,0,0,123,272,5,120,0
0.665237904,0,0,123,272,5,120,0
0.685150862,0,0,123,272,5,120,0
0.70609498,0,0,124,272,5,120,0
0.728087664,0,0,123,272,5,120,0
0.751006603,0,0,124,272,5,120,0
0.770920038,0,0,123,272,5,120,0
0.792866468,0,0,124,272,5,120,0
0.812820435,0,0,123,272,5,120,0
0.832754612,0,0,123,272,5,120,0
0.853699446,0,0,123,272,5,120,0
0.873646259,0,0,124,272,5,120,0
0.894589663,0,0,124,272,5,120,0
0.915534019,0,0,123,272,5,120,0
0.939468145,0,0,124,272,5,120,0
0.959415436,0,0,123,272,5,120,0
0.981438875,0,0,123,272,5,120,0
1.000306606,0,0,123,272,5,120,0
1.02125001,-1,1,125,272,5,120,0
1.043195486,-1,1,126,272,5,120,0
1.062228918,-1,1,127,272,5,120,0
1.083086491,-1,1,129,272,5,120,0
1.104062319,-2,2,134,272,5,120,0
1.127964973,-4,4,140,272,5,120,0
1.149907112,-5,5,146,272,5,120,0
1.168864965,-6,6,151,272,5,120,0
1.188835144,-8,8,161,272,5,120,0
1.209744453,-9,9,168,272,5,120,0
1.23069787,-11,11,177,272,5,120,0
1.25063777,-12,12,182,272,5,120,0
1.270582438,-14,14,191,272,5,120,0
1.359344244,-15,15,197,272,5,120,0
1.370316982,-17,17,208,272,5,120,0
1.380367517,-18,18,214,272,5,120,0
1.403227568,-21,21,227,272,5,120,0
1.414200783,-24,24,240,272,5,120,0
1.426167727,-26,26,252,272,5,120,0
1.44812274,-29,29,255,272,5,120,0
1.459078074,-30,30,255,272,5,120,0
1.479094744,-29,29,255,272,5,120,0
1.491020203,-25,25,248,272,5,120,0
1.512934685,-22,22,231,272,5,120,0
1.524945021,-17,17,209,272,5,120,0
1.545861483,-12,12,181,272,5,120,0
1.565793276,-7,7,156,272,5,120,0
1.587733507,-3,3,135,272,5,120,0
1.606696606,0,0,115,272,5,120,0
1.627645731,4,-4,98,272,5,120,0
1.64860034,6,-6,86,272,5,120,0
1.668519258,8,-8,77,272,5,120,0
1.692455053,9,-9,71,272,5,120,0
1.714476824,10,-10,70,272,5,120,0
1.73434329,9,-9,70,272,5,120,0
1.754321814,9,-9,72,272,5,120,0
1.776230812,9,-9,75,272,5,120,0
1.795235872,8,-8,79,272,5,120,0
1.816123247,7,-7,84,272,5,120,0
1.837099075,6,-6,87,272,5,120,0
1.857013941,5,-5,92,272,5,120,0
1.881962776,4,-4,98,272,5,120,0
1.901893854,3,-3,103,272,5,120,0
1.921843052,1,-1,111,272,5,120,0
1.942786694,0,0,116,272,5,120,0
1.9647367,0,0,120,272,5,120,0
1.983674526,-1,1,125,272,5,120,0
2.004619122,-1,1,128,272,5,120,0
2.026561022,-2,2,132,272,5,120,0
2.045509815,-2,2,133,272,5,120,0
2.069451571,-3,3,135,272,5,120,0
2.090388775,-3,3,135,272,5,120,0
2.110335827,-3,3,135,272,5,120,0
2.131301165,-3,3,135,272,5,120,0
2.154239416,-2,2,134,272,5,120,0
2.172169924,-3,3,135,272,5,120,0
2.193115711,-3,3,135,272,5,120,0
2.215055704,-3,3,135,272,5,120,0
2.234005451,-3,3,135,272,5,120,0
2.257940769,-2,2,134,272,5,120,0
2.278884411,-3,3,135,272,5,120,0
2.298832655,-2,2,134,272,5,120,0
2.319774628,-2,2,134,272,5,120,0
2.341716528,-2,2,133,272,5,120,0
2.360665083,-2,2,133,272,5,120,0
2.448430777,-2,2,133,272,5,120,0
2.459400892,-2,2,134,272,5,120,0
2.481344223,-2,2,133,272,5,120,0
2.493311405,-2,2,133,272,5,120,0
2.504281521,-2,2,133,272,5,120,0
2.526222944,-2,2,133,272,5,120,0
2.537192583,-2,2,133,272,5,120,0
2.55913949,-2,2,133,272,5,120,0
