Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.01296401,-33,3,83,255,164,5,2,80,-30
0.028922081,-33,3,27,154,164,5,2,80,-30
0.048899651,-33,3,0,98,164,5,2,80,-30
0.070814133,-33,3,0,98,164,5,2,80,-30
0.093749523,-34,4,0,100,164,5,2,80,-30
0.114694118,-33,3,0,98,164,5,2,80,-30
0.136634827,-33,3,0,98,164,5,2,80,-30
0.156583071,-33,3,0,98,164,5,2,80,-30
0.175530195,-33,3,-55,0,164,5,2,80,-30
0.19846797,-33,3,0,98,164,5,2,80,-30
0.217418194,-33,3,0,98,164,5,2,80,-30
0.237366676,-33,3,-83,0,164,5,2,80,-30
0.262364626,-33,3,0,98,164,5,2,80,-30
0.282244682,-33,3,0,98,164,5,2,80,-30
0.303189039,-33,3,0,98,164,5,2,80,-30
0.323137283,-33,3,0,98,164,5,2,80,-30
0.344082355,-33,3,0,98,164,5,2,80,-30
0.365021944,-33,3,0,98,164,5,2,80,-30
0.386977673,-33,3,0,98,164,5,2,80,-30
0.405926228,-33,3,0,98,164,5,2,80,-30
0.429881811,-33,3,0,98,164,5,2,80,-30
0.450798512,-34,4,0,100,164,5,2,80,-30
0.536562443,-33,3,0,98,164,5,2,80,-30
0.558506489,-33,3,-194,0,164,5,2,80,-30
0.568518877,-33,3,0,98,164,5,2,80,-30
0.579480648,-33,3,0,98,164,5,2,80,-30
0.601390839,-33,3,0,98,164,5,2,80,-30
0.611399651,-33,3,0,98,164,5,2,80,-30
0.633304596,-34,4,222,255,164,5,2,80,-30
0.644274712,-33,3,0,98,164,5,2,80,-30
0.666217327,-33,3,0,98,164,5,2,80,-30
0.677188396,-33,3,-55,0,164,5,2,80,-30
0.699129105,-33,3,-55,0,164,5,2,80,-30
0.710098505,-33,3,-55,0,164,5,2,80,-30
0.721092701,-33,3,0,98,164,5,2,80,-30
0.745004654,-34,4,27,155,164,5,2,80,-30
0.765950203,-33,3,0,98,164,5,2,80,-30
0.786894798,-33,3,0,98,164,5,2,80,-30
0.808835745,-33,3,-83,0,164,5,2,80,-30
0.827785492,-33,3,0,98,164,5,2,80,-30
0.847731113,-33,3,0,98,164,5,2,80,-30
0.869673014,-33,3,-27,42,164,5,2,80,-30
0.889624834,-33,3,0,98,164,5,2,80,-30
0.913553953,-33,3,0,98,164,5,2,80,-30
0.93350029,-33,3,0,98,164,5,2,80,-30
0.954445601,-33,3,0,98,164,5,2,80,-30
0.976386547,-33,3,0,98,164,5,2,80,-30
0.995336771,-33,3,-27,43,164,5,2,80,-30
1.016281366,-33,3,0,98,164,5,2,80,-30
1.036237955,-33,3,0,98,164,5,2,80,-30
1.058168173,-33,3,0,98,164,5,2,80,-30
1.081105709,-33,3,0,98,164,5,2,80,-30
