Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.031910181,-32,2,55,255,88,20,10,65,-30
0.042881489,-32,2,27,255,88,20,10,65,-30
0.064821959,-32,2,-27,0,88,20,10,65,-30
0.080779791,-32,2,27,255,88,20,10,65,-30
0.101747274,-32,2,-27,0,88,20,10,65,-30
0.125658751,-32,2,27,255,88,20,10,65,-30
0.146602154,-32,2,0,105,88,20,10,65,-30
0.167557955,-32,2,-27,0,88,20,10,65,-30
0.188548326,-32,2,27,255,88,20,10,65,-30
0.207443714,-32,2,0,105,88,20,10,65,-30
0.228391647,-32,2,-55,0,88,20,10,65,-30
0.250329733,-32,2,0,105,88,20,10,65,-30
0.269276619,-32,2,-27,0,88,20,10,65,-30
0.29420948,-32,2,194,255,88,20,10,65,-30
0.316150904,-32,2,27,255,88,20,10,65,-30
0.335117102,-32,2,27,255,88,20,10,65,-30
0.355048895,-32,2,-27,0,88,20,10,65,-30
0.377018929,-32,2,-27,0,88,20,10,65,-30
0.395936966,-32,2,27,255,88,20,10,65,-30
0.416880608,-32,2,-27,0,88,20,10,65,-30
0.439819574,-32,2,27,255,88,20,10,65,-30
0.457769394,-32,2,0,105,88,20,10,65,-30
0.482704401,-32,2,0,105,88,20,10,65,-30
0.568473101,-32,2,0,105,88,20,10,65,-30
0.579555988,-32,2,166,255,88,20,10,65,-30
0.590472937,-32,2,55,255,88,20,10,65,-30
0.61241436,-32,2,-55,0,88,20,10,65,-30
0.623410702,-32,2,27,255,88,20,10,65,-30
0.645325661,-32,2,55,255,88,20,10,65,-30
0.656296968,-32,2,-55,0,88,20,10,65,-30
0.668277025,-32,2,-27,0,88,20,10,65,-30
0.690205336,-32,2,27,255,88,20,10,65,-30
0.70119071,-32,2,27,255,88,20,10,65,-30
0.713144779,-32,2,-27,0,88,20,10,65,-30
0.735118866,-32,2,0,106,88,20,10,65,-30
0.7531147,-32,2,0,106,88,20,10,65,-30
0.77309227,-32,2,0,106,88,20,10,65,-30
0.794005394,-32,2,55,255,88,20,10,65,-30
0.818948269,-32,2,0,105,88,20,10,65,-30
0.838885784,-32,2,-55,0,88,20,10,65,-30
0.8608253,-32,2,0,106,88,20,10,65,-30
0.879776716,-32,2,0,105,88,20,10,65,-30
0.899724007,-32,2,-27,0,88,20,10,65,-30
0.923658848,-32,2,0,106,88,20,10,65,-30
0.940611362,-32,2,0,105,88,20,10,65,-30
0.961557627,-32,2,55,255,88,20,10,65,-30
0.986490011,-32,2,-27,0,88,20,10,65,-30
1.006438017,-32,2,0,108,88,20,10,65,-30
1.027380466,-32,2,27,255,88,20,10,65,-30
1.049322128,-32,2,55,255,88,20,10,65,-30
1.068274736,-32,2,55,255,88,20,10,65,-30
1.088219166,-32,2,-55,0,88,20,10,65,-30
1.111157417,-32,2,27,255,88,20,10,65,-30
1.129107475,-32,2,111,255,88,20,10,65,-30
1.154045105,-32,2,27,255,88,20,10,65,-30
1.174984694,-32,2,-55,0,88,20,10,65,-30
1.194932461,-32,2,222,255,88,20,10,65,-30
1.215875626,-32,2,27,255,88,20,10,65,-30
1.237816334,-32,2,-27,0,88,20,10,65,-30
1.256766558,-32,2,-27,0,88,20,10,65,-30
1.276768446,-32,2,55,255,88,20,10,65,-30
1.299653292,-32,2,27,255,88,20,10,65,-30
1.32259202,-32,2,-27,0,88,20,10,65,-30
1.343533278,-32,2,55,255,88,20,10,65,-30
1.363481522,-32,2,-55,0,88,20,10,65,-30
1.383431673,-32,2,-27,0,88,20,10,65,-30
1.404379845,-32,2,-83,0,88,20,10,65,-30
1.425316095,-31,1,-55,0,88,20,10,65,-30
1.445261955,-32,2,-27,0,88,20,10,65,-30
1.465241432,-32,2,27,255,88,20,10,65,-30
1.487150669,-32,2,-27,0,88,20,10,65,-30
1.510087967,-32,2,-27,0,88,20,10,65,-30
1.534024477,-32,2,0,105,88,20,10,65,-30
1.55199194,-32,2,-55,0,88,20,10,65,-30
1.571921825,-32,2,138,255,88,20,10,65,-30
1.661681652,-32,2,27,255,88,20,10,65,-30
1.672653437,-32,2,0,105,88,20,10,65,-30
1.683623075,-32,2,-55,0,88,20,10,65,-30
1.705565453,-32,2,250,255,88,20,10,65,-30
1.716536045,-32,2,0,106,88,20,10,65,-30
1.738477945,-32,2,83,255,88,20,10,65,-30
1.749447107,-32,2,-27,0,88,20,10,65,-30
1.7604177,-32,2,-27,0,88,20,10,65,-30
1.782359838,-32,2,0,106,88,20,10,65,-30
1.793331385,-32,2,-27,0,88,20,10,65,-30
1.815281153,-31,1,-83,0,88,20,10,65,-30
1.826242208,-32,2,0,105,88,20,10,65,-30
1.848183393,-32,2,-27,0,88,20,10,65,-30
1.867154837,-31,1,-27,0,88,20,10,65,-30
1.887080193,-32,2,27,255,88,20,10,65,-30
1.909019947,-32,2,27,255,88,20,10,65,-30
1.927972078,-32,2,0,106,88,20,10,65,-30
1.948912621,-32,2,138,255,88,20,10,65,-30
1.970855951,-32,2,-27,0,88,20,10,65,-30
1.989837885,-32,2,55,255,88,20,10,65,-30
2.014746428,-32,2,-27,0,88,20,10,65,-30
2.034688711,-32,2,27,255,88,20,10,65,-30
2.055630207,-32,2,55,255,88,20,10,65,-30
2.075576067,-32,2,0,105,88,20,10,65,-30
2.097517967,-32,2,-27,0,88,20,10,65,-30
2.116466045,-32,2,-27,0,88,20,10,65,-30
2.137430906,-32,2,0,105,88,20,10,65,-30
2.158389807,-32,2,0,105,88,20,10,65,-30
2.182290077,-32,2,0,105,88,20,10,65,-30
2.203250408,-32,2,0,105,88,20,10,65,-30
2.223212719,-32,2,-27,0,88,20,10,65,-30
2.244125128,-32,2,0,105,88,20,10,65,-30
2.266064644,-32,2,0,105,88,20,10,65,-30
2.285048723,-32,2,0,105,88,20,10,65,-30
2.305959702,-32,2,27,255,88,20,10,65,-30
2.325951099,-32,32,0,255,88,20,10,65,0
2.347847462,-32,32,0,255,88,20,10,65,0
2.370785475,-31,31,0,255,88,20,10,65,0
2.391728163,-31,31,0,255,88,20,10,65,0
2.41167593,-30,30,-83,0,88,20,10,65,0
2.43165493,-30,30,0,255,88,20,10,65,0
2.454615593,-29,29,0,255,88,20,10,65,0
2.473526478,-28,28,-83,0,88,20,10,65,0
2.493455887,-26,26,-27,255,88,20,10,65,0
2.514401436,-26,26,-83,0,88,20,10,65,0
2.538392305,-25,25,-83,0,88,20,10,65,0
2.559280157,-24,24,0,255,88,20,10,65,0
2.580224276,-23,23,-83,0,88,20,10,65,0
2.600174427,-23,23,-55,0,88,20,10,65,0
2.620153904,-22,22,-83,0,88,20,10,65,0
2.642059803,-21,21,-250,0,88,20,10,65,0
2.662004948,-21,21,0,255,88,20,10,65,0
2.744784355,-20,20,-27,195,88,20,10,65,0
2.765777826,-19,19,-27,180,88,20,10,65,0
2.776698112,-19,19,0,255,88,20,10,65,0
2.797678471,-18,18,0,255,88,20,10,65,0
2.808612823,-18,18,-83,0,88,20,10,65,0
2.830554008,-17,17,0,255,88,20,10,65,0
2.840560675,-17,17,-55,0,88,20,10,65,0
2.862471104,-16,16,0,255,88,20,10,65,0
2.873439074,-16,16,0,255,88,20,10,65,0
2.895381212,-15,15,0,255,88,20,10,65,0
2.906384468,-15,15,0,255,88,20,10,65,0
2.917321682,-15,15,0,255,88,20,10,65,0
2.939263105,-14,14,0,255,88,20,10,65,0
2.956219673,-14,14,166,255,88,20,10,65,0
2.977174282,-13,13,-27,63,88,20,10,65,0
2.997110367,-13,13,0,255,88,20,10,65,0
3.019135237,-12,12,-27,45,88,20,10,65,0
3.039001465,-12,12,0,255,88,20,10,65,0
3.06293273,-12,12,0,255,88,20,10,65,0
3.083878517,-12,12,0,255,88,20,10,65,0
3.10383749,-11,11,0,255,88,20,10,65,0
3.125797272,-11,11,-27,17,88,20,10,65,0
3.144715071,-11,11,0,255,88,20,10,65,0
3.165658951,-10,10,0,255,88,20,10,65,0
3.186618805,-10,10,0,255,88,20,10,65,0
3.20655632,-10,10,0,255,88,20,10,65,0
