Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.012962103,-40,40,0,65,88,0,0,65,0
0.033882856,-40,40,166,65,88,0,0,65,0
0.054824114,-40,40,-27,65,88,0,0,65,0
0.07576108,-40,40,0,65,88,0,0,65,0
0.094710827,-40,40,0,65,88,0,0,65,0
0.115654945,-40,40,-55,65,88,0,0,65,0
0.138594866,-40,40,-55,65,88,0,0,65,0
0.156545877,-40,40,0,65,88,0,0,65,0
0.181479216,-40,40,0,65,88,0,0,65,0
0.201425314,-40,40,0,65,88,0,0,65,0
0.222369432,-40,40,0,65,88,0,0,65,0
0.244310379,-40,40,0,65,88,0,0,65,0
0.263259888,-40,40,-27,65,88,0,0,65,0
0.283208132,-40,40,0,65,88,0,0,65,0
0.304156065,-40,40,0,65,88,0,0,65,0
0.324098587,-40,40,-27,65,88,0,0,65,0
0.349034071,-40,40,-83,65,88,0,0,65,0
0.371969223,-40,40,0,65,88,0,0,65,0
0.389921665,-40,40,0,65,88,0,0,65,0
0.475691319,-40,40,0,65,88,0,0,65,0
0.496669769,-40,40,0,65,88,0,0,65,0
0.507606983,-40,40,0,65,88,0,0,65,0
0.529546738,-40,40,27,65,88,0,0,65,0
0.540519953,-40,40,0,65,88,0,0,65,0
0.551496744,-40,40,-27,65,88,0,0,65,0
0.573480129,-40,40,0,65,88,0,0,65,0
0.584401131,-40,40,0,65,88,0,0,65,0
0.605345249,-40,40,0,65,88,0,0,65,0
0.61631608,-40,40,0,65,88,0,0,65,0
0.63827157,-40,40,0,65,88,0,0,65,0
0.649262428,-40,40,0,65,88,0,0,65,0
0.660228968,-40,40,138,65,88,0,0,65,0
0.68214035,-40,40,27,65,88,0,0,65,0
0.7050879,-40,40,0,65,88,0,0,65,0
0.726021051,-40,40,0,65,88,0,0,65,0
0.747975349,-40,40,0,65,88,0,0,65,0
0.766912937,-40,40,0,65,88,0,0,65,0
0.787857771,-40,40,-27,65,88,0,0,65,0
0.80979681,-40,40,-55,65,88,0,0,65,0
0.827748775,-40,40,-55,65,88,0,0,65,0
0.848693132,-40,40,0,65,88,0,0,65,0
0.873627424,-40,40,-27,65,88,0,0,65,0
0.893608093,-40,40,27,65,88,0,0,65,0
0.914516449,-40,40,-55,65,88,0,0,65,0
0.934464216,-40,40,0,81,88,0.4,0,65,0
0.95540905,-40,40,0,81,88,0.4,0,65,0
0.976356745,-40,40,27,81,88,0.4,0,65,0
0.996298552,-40,40,0,73,88,0.2,0,65,0
1.016243696,-40,40,0,105,88,1,0,65,0
1.041179419,-40,40,27,255,88,5.4,0,65,0
1.062137127,-40,40,0,255,88,7.8,0,65,0
1.083081722,-39,39,0,255,88,7.8,0,65,0
1.108013391,-38,38,-83,255,88,12.4,0,65,0
1.12297368,-36,36,-27,255,88,12.4,0,65,0
1.143919706,-34,34,-166,255,88,16.4,0,65,0
1.163864136,-31,31,-83,255,88,17.4,0,65,0
