Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.019947290420532227,-31,1,-27,0,148,10.0,5.0,65.0,-30.0
0.03995156288146973,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.06083869934082031,-31,1,111,255,148,10.0,5.0,65.0,-30.0
0.08277702331542969,-31,1,55,255,148,10.0,5.0,65.0,-30.0
0.10172867774963379,-31,1,27,217,148,10.0,5.0,65.0,-30.0
0.12167477607727051,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.14563775062561035,-31,1,-27,0,148,10.0,5.0,65.0,-30.0
0.16655373573303223,-31,1,-27,0,148,10.0,5.0,65.0,-30.0
0.1884932518005371,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.20845293998718262,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.22839021682739258,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.24933218955993652,-31,1,0,78,148,10.0,5.0,65.0,-30.0
0.26927781105041504,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.2902364730834961,-31,1,83,255,148,10.0,5.0,65.0,-30.0
0.31016969680786133,-31,1,55,255,148,10.0,5.0,65.0,-30.0
0.33511996269226074,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.35605645179748535,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.3789854049682617,-31,1,-27,0,148,10.0,5.0,65.0,-30.0
0.39594054222106934,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.4168851375579834,-31,1,-27,0,148,10.0,5.0,65.0,-30.0
0.4388251304626465,-31,1,27,216,148,10.0,5.0,65.0,-30.0
0.4578099250793457,-31,1,-27,0,148,10.0,5.0,65.0,-30.0
0.4787163734436035,-31,1,55,255,148,10.0,5.0,65.0,-30.0
0.49869680404663086,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.5236110687255859,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.5435459613800049,-31,1,83,255,148,10.0,5.0,65.0,-30.0
0.5664844512939453,-31,1,27,217,148,10.0,5.0,65.0,-30.0
0.5844361782073975,-30,0,-111,0,148,10.0,5.0,65.0,-30.0
0.6053814888000488,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.6283516883850098,-31,1,0,77,148,10.0,5.0,65.0,-30.0
0.6463034152984619,-31,1,0,77,148,10.0,5.0,65.0,-30.0
