Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.03792882,-33,33,-305,255,88,20,0,65,0
0.048866987,-28,28,-166,255,88,20,0,65,0
0.070817709,-22,22,-138,255,88,20,0,65,0
0.081811428,-16,16,-250,255,88,20,0,65,0
0.103725672,-10,10,-222,255,88,20,0,65,0
0.124665737,-4,4,-166,155,88,20,0,65,0
0.146635532,1,-1,-194,41,88,20,0,65,0
0.165553331,5,-5,-222,0,88,20,0,65,0
0.185533047,8,-8,-83,0,88,20,0,65,0
0.206478834,9,-9,0,0,88,20,0,65,0
0.228444338,9,-9,0,0,88,20,0,65,0
0.309170961,9,-9,27,0,88,20,0,65,0
0.320141077,7,-7,83,0,88,20,0,65,0
0.330146313,5,-5,83,0,88,20,0,65,0
0.352063894,2,-2,194,13,88,20,0,65,0
0.363026857,0,0,83,70,88,20,0,65,0
0.37401247,-3,3,111,143,88,20,0,65,0
0.395938158,-7,7,222,218,88,20,0,65,0
0.405944347,-12,12,111,255,88,20,0,65,0
0.426935673,-15,15,166,255,88,20,0,65,0
0.4388237,-20,20,250,255,88,20,0,65,0
0.460763693,-25,25,194,255,88,20,0,65,0
0.480710506,-29,29,166,255,88,20,0,65,0
0.501654387,-33,33,166,255,88,20,0,65,0
0.52359724,-38,38,138,255,88,20,0,65,0
0.542568684,-42,42,111,255,88,20,0,65,0
0.562491417,-46,46,166,255,88,20,0,65,0
0.585430145,-49,49,166,255,88,20,0,65,0
0.603381872,-51,51,0,255,88,20,0,65,0
0.628316879,-52,52,0,255,88,20,0,65,0
0.648263216,-51,51,-27,255,88,20,0,65,0
0.669205904,-50,50,-55,255,88,20,0,65,0
0.689152956,-48,48,-83,255,88,20,0,65,0
0.712091923,-44,44,-166,255,88,20,0,65,0
0.731041193,-40,40,-166,255,88,20,0,65,0
0.750987291,-36,36,-138,255,88,20,0,65,0
0.772927999,-30,30,-166,255,88,20,0,65,0
0.795868158,-25,25,-166,255,88,20,0,65,0
0.81880641,-18,18,-166,255,88,20,0,65,0
0.836756945,-12,12,-333,255,88,20,0,65,0
0.857703447,-6,6,-138,195,88,20,0,65,0
0.877647638,0,0,-277,80,88,20,0,65,0
0.898592234,4,-4,-166,0,88,20,0,65,0
0.919548512,7,-7,-83,0,88,20,0,65,0
0.939483881,9,-9,-27,0,88,20,0,65,0
0.961423874,10,-10,0,0,88,20,0,65,0
0.984364748,9,-9,0,0,88,20,0,65,0
1.006304979,8,-8,0,0,88,20,0,65,0
1.026286602,6,-6,55,0,88,20,0,65,0
1.046197176,4,-4,83,0,88,20,0,65,0
1.068137884,1,-1,138,43,88,20,0,65,0
1.087087154,-2,2,83,110,88,20,0,65,0
1.107034445,-5,5,83,180,88,20,0,65,0
1.127977848,-10,10,194,255,88,20,0,65,0
1.15191412,-14,14,83,255,88,20,0,65,0
1.172858238,-18,18,166,255,88,20,0,65,0
1.194799662,-23,23,111,255,88,20,0,65,0
1.213747978,-27,27,305,255,88,20,0,65,0
1.234693289,-32,32,166,255,88,20,0,65,0
1.256634474,-36,36,138,255,88,20,0,65,0
1.276586771,-40,40,83,255,88,20,0,65,0
1.295532942,-44,44,250,255,88,20,0,65,0
1.42618084,-48,48,83,255,88,20,0,65,0
1.437151194,-50,50,27,255,88,20,0,65,0
1.459091425,-51,51,55,255,88,20,0,65,0
1.470062971,-51,51,0,255,88,20,0,65,0
1.492014647,-50,50,-83,255,88,20,0,65,0
1.502975464,-48,48,0,255,88,20,0,65,0
1.524917841,-45,45,-166,255,88,20,0,65,0
1.535886526,-41,41,-250,255,88,20,0,65,0
