Time,Arm_Angle,Error,MotorCmd,Headroom,K_P,Motor_Speed(PWM),Desired_Angle
0.019948959,0,0,121,272,2,120,0
0.040890694,-1,1,122,272,2,120,0
0.064827681,-1,1,122,272,2,120,0
0.085771799,-1,1,122,272,2,120,0
0.106715202,-1,1,122,272,2,120,0
0.128692389,-1,1,122,272,2,120,0
0.147615671,-1,1,122,272,2,120,0
0.16755271,-1,1,122,272,2,120,0
0.188494921,-1,1,122,272,2,120,0
0.210437059,-1,1,122,272,2,120,0
0.229384661,-1,1,122,272,2,120,0
0.253320456,-1,1,122,272,2,120,0
0.274265289,-1,1,122,272,2,120,0
0.29521656,-1,1,122,272,2,120,0
0.317150831,-1,1,122,272,2,120,0
0.336102247,-1,1,122,272,2,120,0
0.356053591,0,0,121,272,2,120,0
0.378994703,-1,1,122,272,2,120,0
0.396938324,-1,1,122,272,2,120,0
0.417881012,-1,1,122,272,2,120,0
0.441910982,-1,1,122,272,2,120,0
0.462812185,-1,1,122,272,2,120,0
0.482742786,-1,1,122,272,2,120,0
0.505646944,-1,1,122,272,2,120,0
0.524597168,-1,1,122,272,2,120,0
0.54554987,-1,1,122,272,2,120,0
0.566516399,-1,1,122,272,2,120,0
0.651288986,-1,1,122,272,2,120,0
0.663229704,-1,1,122,272,2,120,0
0.674196482,-1,1,122,272,2,120,0
0.686161995,-1,1,122,272,2,120,0
0.70711422,-1,1,122,272,2,120,0
0.719076633,-1,1,122,272,2,120,0
0.741014719,-1,1,122,272,2,120,0
0.752985001,-1,1,122,272,2,120,0
0.763954401,-1,1,122,272,2,120,0
0.784898996,-1,1,122,272,2,120,0
0.795870066,-1,1,122,272,2,120,0
0.817811966,-1,1,122,272,2,120,0
0.83975172,-1,1,122,272,2,120,0
0.860729933,0,0,121,272,2,120,0
0.880679131,-1,1,122,272,2,120,0
0.900620937,-1,1,122,272,2,120,0
0.921534061,-1,1,123,272,2,120,0
0.942478895,-1,1,123,272,2,120,0
0.962425232,-1,1,123,272,2,120,0
0.982371569,-2,2,124,272,2,120,0
1.005308628,-2,2,124,272,2,120,0
1.028264046,-2,2,125,272,2,120,0
1.052184582,-3,3,126,272,2,120,0
1.06913805,-4,4,128,272,2,120,0
1.08908391,-5,5,130,272,2,120,0
1.11003232,-6,6,132,272,2,120,0
1.130010605,-6,6,133,272,2,120,0
1.150920391,-8,8,137,272,2,120,0
1.170869589,-10,10,140,272,2,120,0
1.192843437,-11,11,142,272,2,120,0
1.216742992,-12,12,145,272,2,120,0
1.238683939,-14,14,148,272,2,120,0
1.257636547,-16,16,152,272,2,120,0
1.278622627,-18,18,157,272,2,120,0
1.301568985,-20,20,160,272,2,120,0
1.318524837,-22,22,164,272,2,120,0
1.339415789,-24,24,168,272,2,120,0
1.360360384,-25,25,171,272,2,120,0
1.382299662,-26,26,173,272,2,120,0
1.405238628,-26,26,172,272,2,120,0
1.426237106,-25,25,170,272,2,120,0
1.44612956,-23,23,166,272,2,120,0
1.466108799,-21,21,162,272,2,120,0
1.488017797,-19,19,158,272,2,120,0
1.506967783,-17,17,154,272,2,120,0
1.527912617,-14,14,149,272,2,120,0
1.549851418,-13,13,146,272,2,120,0
1.568833828,-11,11,143,272,2,120,0
1.593743563,-10,10,140,272,2,120,0
1.616672277,-8,8,137,272,2,120,0
1.634625912,-7,7,134,272,2,120,0
1.65457058,-6,6,133,272,2,120,0
1.744333029,-6,6,132,272,2,120,0
1.755334854,-5,5,131,272,2,120,0
1.766273499,-5,5,130,272,2,120,0
1.787222624,-5,5,130,272,2,120,0
1.797226429,-5,5,130,272,2,120,0
1.818167448,-5,5,130,272,2,120,0
1.829164743,-5,5,130,272,2,120,0
1.841127634,-5,5,130,272,2,120,0
1.863050938,-5,5,130,272,2,120,0
1.874021769,-5,5,130,272,2,120,0
1.896008968,-5,5,130,272,2,120,0
1.906896114,-5,5,130,272,2,120,0
1.92691946,-5,5,130,272,2,120,0
1.945845127,-5,5,130,272,2,120,0
1.969727516,-5,5,130,272,2,120,0
1.990672588,-5,5,130,272,2,120,0
2.011617184,-5,5,130,272,2,120,0
2.031579256,-5,5,130,272,2,120,0
2.053503513,-5,5,130,272,2,120,0
2.07245326,-5,5,130,272,2,120,0
2.093397141,-5,5,130,272,2,120,0
2.11437726,-5,5,130,272,2,120,0
2.134288549,-5,5,130,272,2,120,0
2.158284664,-5,5,130,272,2,120,0
2.1792202,-5,5,130,272,2,120,0
2.199146748,-5,5,130,272,2,120,0
2.220059395,-5,5,130,272,2,120,0
2.241005182,-5,5,130,272,2,120,0
2.260952234,-5,5,130,272,2,120,0
2.280902624,-5,5,130,272,2,120,0
2.302835941,-5,5,130,272,2,120,0
2.32178688,-5,5,130,272,2,120,0
2.34676075,-5,5,130,272,2,120,0
2.367662191,-5,5,130,272,2,120,0
2.387608767,-5,5,130,272,2,120,0
2.409608126,-5,5,130,272,2,120,0
2.429504156,-5,5,130,272,2,120,0
2.449443817,-5,5,130,272,2,120,0
2.46940732,-5,5,130,272,2,120,0
2.491333246,-4,4,129,272,2,120,0
2.51129508,-5,5,130,272,2,120,0
2.535213709,-5,5,130,272,2,120,0
2.556158304,-5,5,130,272,2,120,0
2.576157808,-5,5,130,272,2,120,0
2.598058224,-5,5,130,272,2,120,0
2.617027998,-5,5,130,272,2,120,0
2.637957335,-5,5,130,272,2,120,0
2.659879684,-5,5,130,272,2,120,0
2.679837942,-5,5,130,272,2,120,0
2.698803663,-5,5,130,272,2,120,0
2.723711252,-5,5,130,272,2,120,0
2.744661093,-5,5,130,272,2,120,0
2.831453562,-5,5,130,272,2,120,0
2.843390942,-5,5,130,272,2,120,0
2.864392042,-5,5,130,272,2,120,0
2.875355244,-5,5,130,272,2,120,0
2.897246361,-5,5,130,272,2,120,0
2.908293247,-5,5,130,272,2,120,0
2.920184851,-5,5,130,272,2,120,0
2.942145109,-5,5,130,272,2,120,0
2.954136133,-5,5,130,272,2,120,0
2.975116014,-5,5,130,272,2,120,0
2.987005472,-5,5,130,272,2,120,0
2.997976065,-5,5,130,272,2,120,0
3.019917011,-5,5,130,272,2,120,0
3.034876823,-5,5,130,272,2,120,0
3.05582118,-5,5,130,272,2,120,0
3.075770855,-5,5,130,272,2,120,0
3.100700617,-5,5,130,272,2,120,0
3.120648861,-5,5,130,272,2,120,0
3.141591072,-5,5,130,272,2,120,0
3.163533926,-5,5,130,272,2,120,0
3.182482719,-5,5,130,272,2,120,0
3.203425884,-5,5,130,272,2,120,0
3.225366831,-5,5,130,272,2,120,0
3.244316339,-5,5,130,272,2,120,0
3.264264822,-5,5,130,272,2,120,0
3.2862041,-5,5,130,272,2,120,0
3.309171915,-5,5,130,272,2,120,0
3.331084013,-5,5,130,272,2,120,0
3.350034952,-5,5,130,272,2,120,0
3.370986223,-5,5,130,272,2,120,0
3.390924215,-5,5,130,272,2,120,0
3.413864136,-5,5,130,272,2,120,0
3.431850672,-5,5,130,272,2,120,0
3.452761889,-5,5,130,272,2,120,0
3.474700928,-4,4,129,272,2,120,0
3.497639656,-5,5,130,272,2,120,0
3.520577669,-5,5,130,272,2,120,0
3.538529158,-5,5,130,272,2,120,0
3.559527159,-5,5,130,272,2,120,0
3.581466198,-5,5,130,272,2,120,0
3.600367308,-5,5,130,272,2,120,0
3.62130785,-5,5,130,272,2,120,0
3.641255617,-5,5,130,272,2,120,0
3.663280964,-5,5,130,272,2,120,0
3.686135292,-5,5,130,272,2,120,0
3.707078695,-5,5,130,272,2,120,0
3.727073431,-5,5,130,272,2,120,0
3.747969389,-5,5,130,272,2,120,0
3.768944979,-5,5,130,272,2,120,0
3.788875818,-5,5,130,272,2,120,0
3.808823586,-5,5,130,272,2,120,0
3.829758406,-5,5,130,272,2,120,0
3.915522575,-5,5,130,272,2,120,0
3.925544262,-5,5,130,272,2,120,0
3.936496973,-5,5,130,272,2,120,0
3.958422661,-5,5,130,272,2,120,0
3.969412327,-5,5,130,272,2,120,0
3.990322113,-5,5,130,272,2,120,0
4.001290083,-5,5,130,272,2,120,0
4.013282061,-5,5,130,272,2,120,0
4.034235001,-5,5,130,272,2,120,0
4.045182705,-5,5,130,272,2,120,0
4.068123579,-5,5,130,272,2,120,0
4.084070683,-5,5,130,272,2,120,0
4.104017019,-5,5,130,272,2,120,0
4.124960184,-5,5,130,272,2,120,0
4.14590621,-5,5,130,272,2,120,0
4.165849686,-5,5,130,272,2,120,0
4.185798407,-5,5,130,272,2,120,0
4.208735228,-5,5,130,272,2,120,0
4.226691008,-5,5,130,272,2,120,0
4.251623392,-5,5,130,272,2,120,0
4.27156949,-5,5,130,272,2,120,0
4.292613268,-5,5,130,272,2,120,0
4.313524246,-5,5,130,272,2,120,0
4.334432364,-5,5,130,272,2,120,0
4.354346752,-5,5,130,272,2,120,0
4.374292135,-5,5,130,272,2,120,0
4.395237923,-5,5,130,272,2,120,0
4.415184021,-5,5,130,272,2,120,0
4.440220594,-5,5,130,272,2,120,0
4.460221052,-5,5,130,272,2,120,0
4.481145382,-5,5,130,272,2,120,0
4.503078699,-5,5,130,272,2,120,0
4.522001028,-5,5,130,272,2,120,0
4.541947126,-5,5,130,272,2,120,0
4.563943863,-5,5,130,272,2,120,0
4.582871914,-5,5,130,272,2,120,0
4.603782892,-5,5,130,272,2,120,0
4.628717899,-5,5,130,272,2,120,0
4.648662806,-5,5,130,272,2,120,0
4.66963315,-5,5,130,272,2,120,0
4.691546917,-5,5,130,272,2,120,0
4.710497379,-5,5,130,272,2,120,0
4.730530977,-5,5,130,272,2,120,0
4.751418829,-5,5,130,272,2,120,0
4.771334171,-5,5,130,272,2,120,0
4.792280912,-5,5,130,272,2,120,0
4.817210913,-5,5,130,272,2,120,0
4.837156773,-5,5,130,272,2,120,0
4.858110905,-5,5,130,272,2,120,0
4.880053759,-4,4,129,272,2,120,0
4.898991823,-5,5,130,272,2,120,0
4.91893959,-5,5,130,272,2,120,0
5.004740953,-5,5,130,272,2,120,0
5.016678333,-5,5,130,272,2,120,0
5.037622213,-5,5,130,272,2,120,0
5.048592091,-5,5,130,272,2,120,0
5.059571743,-5,5,130,272,2,120,0
5.082500935,-5,5,130,272,2,120,0
5.09252882,-5,5,130,272,2,120,0
5.113476038,-5,5,130,272,2,120,0
5.124388695,-5,5,130,272,2,120,0
5.146388054,-5,5,130,272,2,120,0
5.15733552,-5,5,130,272,2,120,0
5.169301271,-5,5,130,272,2,120,0
5.191242933,-5,5,130,272,2,120,0
5.214159966,-5,5,130,272,2,120,0
5.23509264,-5,5,130,272,2,120,0
5.25604248,-5,5,130,272,2,120,0
5.276016474,-5,5,130,272,2,120,0
5.296937227,-5,5,130,272,2,120,0
5.317920446,-5,5,130,272,2,120,0
5.336824417,-5,5,130,272,2,120,0
5.357797861,-5,5,130,272,2,120,0
5.380713463,-5,5,130,272,2,120,0
5.402643681,-5,5,130,272,2,120,0
5.424606562,-5,5,130,272,2,120,0
5.44355011,-5,5,130,272,2,120,0
5.464514017,-5,5,130,272,2,120,0
5.4844594,-5,5,130,272,2,120,0
5.506366491,-5,5,130,272,2,120,0
5.525317669,-5,5,130,272,2,120,0
5.546275616,-5,5,130,272,2,120,0
5.568237782,-5,5,130,272,2,120,0
