Time,Arm_Angle,Error,MotorCmd,Headroom,K_P,Motor_Speed(PWM),Desired_Angle
0.016027927,0,0,127,272,10,120,0
0.116685629,0,0,127,272,10,120,0
0.137632847,0,0,127,272,10,120,0
0.148637533,0,0,127,272,10,120,0
0.170544147,0,0,127,272,10,120,0
0.180575848,0,0,126,272,10,120,0
0.202456713,-1,1,130,272,10,120,0
0.213482141,0,0,127,272,10,120,0
0.225396633,0,0,127,272,10,120,0
0.247416496,0,0,125,272,10,120,0
0.258308887,-1,1,130,272,10,120,0
0.28131628,0,0,127,272,10,120,0
0.292217255,0,0,127,272,10,120,0
0.302222967,0,0,127,272,10,120,0
0.324131727,0,0,127,272,10,120,0
0.335138321,0,0,127,272,10,120,0
0.357043982,0,0,127,272,10,120,0
0.372003794,0,0,125,272,10,120,0
0.391949415,0,0,129,272,10,120,0
0.412899256,0,0,127,272,10,120,0
0.435832024,0,0,127,272,10,120,0
0.453805208,0,0,125,272,10,120,0
0.473749876,0,0,128,272,10,120,0
0.494753599,0,0,127,272,10,120,0
0.518644571,0,0,127,272,10,120,0
0.53959012,0,0,129,272,10,120,0
0.561551571,0,0,128,272,10,120,0
0.581452131,0,0,127,272,10,120,0
0.601389408,0,0,127,272,10,120,0
0.623330832,0,0,128,272,10,120,0
0.642280817,0,0,127,272,10,120,0
0.662283421,0,0,127,272,10,120,0
0.684200287,0,0,127,272,10,120,0
0.707105637,0,0,127,272,10,120,0
0.728103876,-1,1,130,272,10,120,0
0.748006344,-1,1,130,272,10,120,0
0.768940687,-1,1,132,272,10,120,0
0.789886713,-1,1,135,272,10,120,0
0.811879396,-1,1,135,272,10,120,0
0.830790758,-1,1,135,272,10,120,0
0.850723267,-1,1,137,272,10,120,0
0.872665405,-2,2,142,272,10,120,0
0.89560461,-3,3,150,272,10,120,0
0.91854167,-4,4,160,272,10,120,0
0.936529875,-5,5,172,272,10,120,0
0.957437515,-6,6,185,272,10,120,0
0.978415251,-8,8,203,272,10,120,0
0.998330116,-10,10,222,272,10,120,0
1.019287109,-11,11,237,272,10,120,0
1.039217949,-13,13,255,272,10,120,0
1.0612185,-15,15,255,272,10,120,0
1.084147453,-18,18,255,272,10,120,0
1.107038021,-21,21,255,272,10,120,0
1.12498951,-24,24,255,272,10,120,0
1.207777739,-27,27,255,272,10,120,0
1.228761673,-30,30,255,272,10,120,0
1.239683151,-29,29,255,272,10,120,0
1.260681868,-27,27,255,272,10,120,0
1.271597385,-23,23,255,272,10,120,0
1.293539047,-18,18,255,272,10,120,0
1.304509163,-13,13,255,272,10,120,0
1.325451612,-8,8,202,272,10,120,0
1.336423874,-2,2,146,272,10,120,0
1.358363628,2,-2,97,272,10,120,0
1.368369818,6,-6,52,272,10,120,0
1.390279531,9,-9,20,272,10,120,0
1.401248455,12,-12,0,272,10,120,0
1.416208506,13,-13,0,272,10,120,0
1.436155319,13,-13,0,272,10,120,0
1.461091518,13,-13,0,272,10,120,0
1.484028339,12,-12,0,272,10,120,0
1.501979589,10,-10,17,272,10,120,0
1.522922993,8,-8,37,272,10,120,0
1.544864893,6,-6,60,272,10,120,0
1.563815117,3,-3,85,272,10,120,0
1.58376193,0,0,115,272,10,120,0
1.606699467,-1,1,139,272,10,120,0
1.624652863,-4,4,165,272,10,120,0
1.64958477,-6,6,181,272,10,120,0
1.67152667,-8,8,202,272,10,120,0
1.690475702,-9,9,212,272,10,120,0
1.71141839,-10,10,220,272,10,120,0
1.733371258,-9,9,215,272,10,120,0
1.752308846,-9,9,210,272,10,120,0
1.772291183,-8,8,203,272,10,120,0
1.794246435,-6,6,188,272,10,120,0
1.814190149,-5,5,173,272,10,120,0
1.838079929,-4,4,160,272,10,120,0
1.858028412,-2,2,141,272,10,120,0
1.879025698,0,0,125,272,10,120,0
1.899923086,0,0,112,272,10,120,0
1.920857668,1,-1,102,272,10,120,0
1.940805674,2,-2,92,272,10,120,0
1.960751295,3,-3,85,272,10,120,0
1.98374176,3,-3,85,272,10,120,0
2.001644373,3,-3,85,272,10,120,0
2.026574373,3,-3,86,272,10,120,0
2.047522545,2,-2,92,272,10,120,0
2.067497969,2,-2,97,272,10,120,0
2.088443279,1,-1,101,272,10,120,0
2.108356237,1,-1,104,272,10,120,0
2.129300833,1,-1,110,272,10,120,0
2.149265528,0,0,115,272,10,120,0
2.171194077,0,0,119,272,10,120,0
2.190144062,0,0,121,272,10,120,0
2.215200424,0,0,127,272,10,120,0
2.294858932,-1,1,132,272,10,120,0
2.306824684,-1,1,133,272,10,120,0
2.327780485,-1,1,133,272,10,120,0
2.339738607,-1,1,134,272,10,120,0
2.350743532,-1,1,133,272,10,120,0
2.372649193,-1,1,132,272,10,120,0
