Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.023916245,-39,39,0,65,88,0,0,65,0
0.038878441,-39,39,-27,65,88,0,0,65,0
0.06380868,-39,39,27,65,88,0,0,65,0
0.08575511,-39,39,0,65,88,0,0,65,0
0.10469985,-39,39,0,65,88,0,0,65,0
0.124647856,-39,39,0,65,88,0,0,65,0
0.146591187,-39,39,0,65,88,0,0,65,0
0.166552782,-39,39,0,65,88,0,0,65,0
0.186481476,-39,39,0,65,88,0,0,65,0
0.20843792,-39,39,-27,65,88,0,0,65,0
0.227371216,-39,39,0,65,88,0,0,65,0
0.252345324,-39,39,0,65,88,0,0,65,0
0.272251844,-39,39,27,65,88,0,0,65,0
0.293198824,-39,39,-27,65,88,0,0,65,0
0.313174486,-39,39,27,65,88,0,0,65,0
0.336079836,-39,39,-55,65,88,0,0,65,0
0.354032516,-39,39,0,65,88,0,0,65,0
0.374977827,-39,39,0,65,88,0,0,65,0
0.397916555,-39,39,0,65,88,0,0,65,0
0.419857025,-39,39,0,65,88,0,0,65,0
0.440807581,-39,39,0,65,88,0,0,65,0
0.460747957,-39,39,27,65,88,0,0,65,0
0.481692076,-39,39,0,65,88,0,0,65,0
0.501642227,-39,39,27,65,88,0,0,65,0
0.5225811,-39,39,-27,65,88,0,0,65,0
0.542528629,-40,40,83,65,88,0,0,65,0
0.563472748,-39,39,55,65,88,0,0,65,0
0.588415623,-40,40,0,65,88,0,0,65,0
0.608393908,-39,39,-55,65,88,0,0,65,0
0.630293608,-40,40,55,65,88,0,0,65,0
0.649265051,-40,40,27,65,88,0,0,65,0
0.670201302,-39,39,-27,65,88,0,0,65,0
0.763934374,-39,39,-27,65,88,0,0,65,0
0.784927607,-39,39,27,65,88,0,0,65,0
0.795874596,-39,39,-83,65,88,0,0,65,0
0.818788767,-39,39,0,65,88,0,0,65,0
0.8288095,-39,39,27,65,88,0,0,65,0
0.850781202,-39,39,-27,65,88,0,0,65,0
0.862702131,-39,39,-27,65,88,0,0,65,0
0.87364316,-40,40,83,65,88,0,0,65,0
0.895583391,-39,39,55,65,88,0,0,65,0
0.906586885,-39,39,0,65,88,0,0,65,0
0.928497553,-40,40,0,65,88,0,0,65,0
0.939466715,-40,40,55,65,88,0,0,65,0
0.961406946,-40,40,27,65,88,0,0,65,0
0.972380638,-39,39,27,65,88,0,0,65,0
0.985346556,-39,39,-27,65,88,0,0,65,0
1.00728631,-39,39,-55,65,88,0,0,65,0
1.026233196,-39,39,-83,65,88,0,0,65,0
1.047178984,-40,40,0,65,88,0,0,65,0
1.069125652,-40,40,0,65,88,0,0,65,0
1.088069439,-39,39,-27,65,88,0,0,65,0
1.112020969,-40,40,55,65,88,0,0,65,0
1.132950306,-40,40,0,65,88,0,0,65,0
1.153896332,-40,40,0,65,88,0,0,65,0
1.175834417,-39,39,83,65,88,0,0,65,0
1.193785191,-40,40,27,65,88,0,0,65,0
1.214744806,-39,39,-27,65,88,0,0,65,0
1.235692024,-40,40,0,65,88,0,0,65,0
1.257647753,-40,40,0,65,88,0,0,65,0
1.276566267,-40,40,0,65,88,0,0,65,0
1.301508904,-40,40,0,65,88,0,0,65,0
1.321477175,-40,40,0,65,88,0,0,65,0
1.34139204,-40,40,0,65,88,0,0,65,0
1.364363909,-40,40,0,65,88,0,0,65,0
1.382320881,-40,40,0,65,88,0,0,65,0
1.40322566,-40,40,27,65,88,0,0,65,0
1.423204899,-40,40,55,65,88,0,0,65,0
1.44511652,-40,40,0,65,88,0,0,65,0
1.469067574,-40,40,0,65,88,0,0,65,0
1.489029169,-40,40,55,73,88,1.2,0,65,0
1.509940386,-40,40,0,113,88,1.2,0,65,0
1.529885292,-40,40,0,255,88,5.4,0,65,0
1.550909042,-39,39,-27,255,88,7.4,0,65,0
1.570779085,-39,39,0,255,88,9,0,65,0
1.591719866,-38,38,-83,255,88,9.6,0,65,0
1.614659309,-37,37,-83,255,88,9.8,0,65,0
1.636600018,-34,34,-83,255,88,9.8,0,65,0
1.657546282,-31,31,-166,255,88,9.8,0,65,0
1.679486513,-28,28,-83,255,88,9.8,0,65,0
1.69843626,-24,24,-138,255,88,9.8,0,65,0
1.71838212,-19,19,-166,253,88,9.8,0,65,0
1.740322351,-14,14,-138,206,88,9.8,0,65,0
1.759271622,-9,9,-138,161,88,9.8,0,65,0
1.78021574,-4,4,-111,111,88,9.8,0,65,0
1.865021229,0,0,-138,65,88,9.8,0,65,0
1.875995874,4,-4,-111,25,88,9.8,0,65,0
1.896935701,6,-6,-83,0,88,9.8,0,65,0
1.907873869,8,-8,0,0,88,9.8,0,65,0
1.929816484,9,-9,0,0,88,9.8,0,65,0
1.940785646,8,-8,27,0,88,9.8,0,65,0
1.951773643,7,-7,83,0,88,9.8,0,65,0
1.973732233,6,-6,27,6,88,9.8,0,65,0
1.985667467,3,-3,83,30,88,9.8,0,65,0
2.007608652,0,0,83,57,88,9.8,0,65,0
2.01859045,-2,2,83,87,88,9.8,0,65,0
2.033540249,-5,5,83,116,88,9.8,0,65,0
2.054502726,-8,8,83,148,88,9.8,0,65,0
