Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.021942139,-31,1,27,135,88,15,2,65,-30
0.040890694,-31,1,27,136,88,15,2,65,-30
0.060869217,-31,1,0,80,88,15,2,65,-30
0.082778931,-31,1,-27,24,88,15,2,65,-30
0.102734804,-31,1,27,136,88,15,2,65,-30
0.12269783,-31,1,83,250,88,15,2,65,-30
0.143648863,-31,1,83,250,88,15,2,65,-30
0.16356349,-31,1,27,136,88,15,2,65,-30
0.18849802,-31,1,55,194,88,15,2,65,-30
0.209471941,-31,1,27,138,88,15,2,65,-30
0.229386091,-31,1,27,138,88,15,2,65,-30
0.249334574,-31,1,0,81,88,15,2,65,-30
0.271277905,-31,1,27,138,88,15,2,65,-30
0.290225029,-31,1,-55,0,88,15,2,65,-30
0.311166286,-31,1,111,255,88,15,2,65,-30
0.332111835,-31,1,0,81,88,15,2,65,-30
0.356046915,-31,1,-55,0,88,15,2,65,-30
0.376990557,-31,1,27,138,88,15,2,65,-30
0.397015333,-31,1,-27,24,88,15,2,65,-30
0.417881489,-30,0,-138,0,88,15,2,65,-30
0.437861919,-31,1,0,80,88,15,2,65,-30
0.458804607,-31,1,0,80,88,15,2,65,-30
0.478718042,-31,1,27,136,88,15,2,65,-30
0.49966383,-30,0,-55,0,88,15,2,65,-30
0.584450245,-31,1,-27,24,88,15,2,65,-30
0.595408201,-31,1,-27,26,88,15,2,65,-30
0.616349936,-31,1,-27,24,88,15,2,65,-30
0.626359463,-31,1,0,83,88,15,2,65,-30
0.637319565,-31,1,27,138,88,15,2,65,-30
0.660232306,-31,1,27,136,88,15,2,65,-30
0.671204329,-31,1,-55,0,88,15,2,65,-30
0.694144487,-31,1,27,136,88,15,2,65,-30
0.70512557,-31,1,-27,24,88,15,2,65,-30
0.716084003,-31,1,-27,25,88,15,2,65,-30
0.738024235,-31,1,27,136,88,15,2,65,-30
0.753985643,-31,1,27,138,88,15,2,65,-30
0.773928404,-30,0,-111,0,88,15,2,65,-30
0.793879747,-31,1,-27,25,88,15,2,65,-30
0.815859318,-31,1,0,80,88,15,2,65,-30
0.834767818,-31,1,-27,24,88,15,2,65,-30
0.855736017,-31,1,-55,0,88,15,2,65,-30
0.880643368,-31,1,27,138,88,15,2,65,-30
