Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.000976324,-30,0,0,65,88,15,5,65,-30
0.012965918,-30,0,-55,0,88,15,5,65,-30
0.023905754,-30,0,-27,0,88,15,5,65,-30
0.034876585,-30,0,0,67,88,15,5,65,-30
0.055820227,-30,0,0,65,88,15,5,65,-30
0.066790819,-30,0,-27,0,88,15,5,65,-30
0.088768721,-30,0,0,65,88,15,5,65,-30
0.099704981,-30,0,0,65,88,15,5,65,-30
0.12164712,-30,0,0,65,88,15,5,65,-30
0.132616043,-30,0,0,65,88,15,5,65,-30
0.14360404,-30,0,27,205,88,15,5,65,-30
0.165557146,-30,0,0,65,88,15,5,65,-30
0.179521084,-30,0,0,65,88,15,5,65,-30
0.199436426,-30,0,-27,0,88,15,5,65,-30
0.219383001,-30,0,0,65,88,15,5,65,-30
0.240328074,-30,0,55,255,88,15,5,65,-30
0.265261412,-30,0,27,206,88,15,5,65,-30
0.285207987,-30,0,-27,0,88,15,5,65,-30
0.30814743,-30,0,0,65,88,15,5,65,-30
0.326117754,-30,0,-27,0,88,15,5,65,-30
0.347040653,-30,0,55,255,88,15,5,65,-30
0.368982077,-30,0,27,205,88,15,5,65,-30
0.387964725,-30,0,0,65,88,15,5,65,-30
0.407880068,-29,0,-138,0,88,15,5,65,-30
0.432813644,-30,0,27,205,88,15,5,65,-30
0.453755379,-30,0,0,65,88,15,5,65,-30
0.473701954,-29,0,-27,0,88,15,5,65,-30
0.495659828,-30,0,0,65,88,15,5,65,-30
0.514599562,-30,0,55,255,88,15,5,65,-30
0.535570621,-30,0,55,255,88,15,5,65,-30
0.557477236,-30,0,0,66,88,15,5,65,-30
0.576448202,-30,0,0,67,88,15,5,65,-30
0.600363255,-30,0,-55,0,88,15,5,65,-30
0.621306181,-30,0,27,205,88,15,5,65,-30
0.642251015,-30,0,27,206,88,15,5,65,-30
0.662198067,-30,0,-83,0,88,15,5,65,-30
0.685135365,-30,0,-27,0,88,15,5,65,-30
0.703088284,-30,0,-27,0,88,15,5,65,-30
0.724032402,-30,0,27,205,88,15,5,65,-30
0.745973825,-30,0,0,65,88,15,5,65,-30
0.764930487,-30,0,0,65,88,15,5,65,-30
0.788858891,-30,0,0,66,88,15,5,65,-30
0.809804201,-30,0,0,65,88,15,5,65,-30
0.829748392,-30,0,0,65,88,15,5,65,-30
0.850692034,-30,0,27,203,88,15,5,65,-30
0.872634411,-30,0,27,205,88,15,5,65,-30
0.891583443,-30,0,0,65,88,15,5,65,-30
0.912528276,-30,0,-27,0,88,15,5,65,-30
0.9344697,-30,0,27,207,88,15,5,65,-30
0.957409143,-30,0,0,67,88,15,5,65,-30
0.979348898,-30,0,-83,0,88,15,5,65,-30
0.998353481,-30,0,-27,0,88,15,5,65,-30
1.116030216,-30,0,0,66,88,15,5,65,-30
1.13797307,-30,0,0,65,88,15,5,65,-30
1.148944855,-30,0,-27,0,88,15,5,65,-30
1.159929514,-30,0,0,65,88,15,5,65,-30
1.180900097,-30,0,111,255,88,15,5,65,-30
1.193837643,-30,0,27,205,88,15,5,65,-30
1.215764761,-30,0,-27,0,88,15,5,65,-30
1.226747036,-30,0,-55,0,88,15,5,65,-30
1.238702774,-30,0,-27,0,88,15,5,65,-30
1.260644913,-30,0,-27,0,88,15,5,65,-30
1.272619009,-30,0,0,66,88,15,5,65,-30
1.284580708,-30,0,-27,0,88,15,5,65,-30
1.306521654,-30,0,-27,0,88,15,5,65,-30
1.31749177,-30,0,0,65,88,15,5,65,-30
1.33943367,-30,0,27,205,88,15,5,65,-30
1.350404024,-30,0,0,65,88,15,5,65,-30
1.372344971,-30,0,0,65,88,15,5,65,-30
1.383315563,-30,0,-27,0,88,15,5,65,-30
1.395287752,-30,0,111,255,88,15,5,65,-30
1.418222666,-30,0,0,66,88,15,5,65,-30
1.436203718,-30,0,0,65,88,15,5,65,-30
1.461142302,-30,0,27,206,88,15,5,65,-30
1.482051611,-30,0,0,65,88,15,5,65,-30
1.501998901,-30,0,-27,0,88,15,5,65,-30
1.521945,-30,0,27,205,88,15,5,65,-30
1.544884682,-30,0,0,66,88,15,5,65,-30
1.563833714,-30,0,-27,0,88,15,5,65,-30
1.583778858,-30,0,-27,0,88,15,5,65,-30
1.605720043,-30,0,-55,0,88,15,5,65,-30
1.628668785,-30,0,27,208,88,15,5,65,-30
1.650601387,-30,0,-27,0,88,15,5,65,-30
1.669550896,-30,0,0,65,88,15,5,65,-30
1.690499783,-30,0,83,255,88,15,5,65,-30
1.712435722,-30,0,55,255,88,15,5,65,-30
1.731386423,-30,0,0,65,88,15,5,65,-30
1.751362085,-30,0,0,65,88,15,5,65,-30
1.77230835,-30,0,27,205,88,15,5,65,-30
1.79724288,-30,0,0,65,88,15,5,65,-30
1.817187786,-29,0,-27,0,88,15,5,65,-30
1.840100288,-30,0,83,255,88,15,5,65,-30
1.858045816,-30,0,0,65,88,15,5,65,-30
1.87898922,-30,0,0,65,88,15,5,65,-30
1.89993453,-30,0,0,65,88,15,5,65,-30
1.919881344,-30,0,0,65,88,15,5,65,-30
1.939828157,-30,0,0,65,88,15,5,65,-30
1.964924812,-30,0,27,205,88,15,5,65,-30
1.985704184,-30,0,55,255,88,15,5,65,-30
2.005650997,-30,0,-55,0,88,15,5,65,-30
2.026599407,-30,0,0,65,88,15,5,65,-30
2.046540737,-30,0,0,65,88,15,5,65,-30
2.067508221,-30,0,0,66,88,15,5,65,-30
2.089427471,-30,0,0,66,88,15,5,65,-30
2.108377934,-30,0,-27,0,88,15,5,65,-30
2.128331661,-30,0,166,255,88,15,5,65,-30
2.212099075,-30,0,55,255,88,15,5,65,-30
2.223069429,-30,0,0,65,88,15,5,65,-30
2.244102955,-30,0,0,65,88,15,5,65,-30
2.255982399,-30,0,-27,0,88,15,5,65,-30
2.27792716,-30,0,0,65,88,15,5,65,-30
2.287981033,-30,0,27,206,88,15,5,65,-30
2.309851408,-30,0,0,66,88,15,5,65,-30
2.320806503,-30,0,0,65,88,15,5,65,-30
2.331777573,-30,0,0,65,88,15,5,65,-30
2.353721142,-30,0,27,205,88,15,5,65,-30
2.364722729,-30,0,-27,0,88,15,5,65,-30
2.386631727,-30,0,0,65,88,15,5,65,-30
2.40359807,-30,0,0,65,88,15,5,65,-30
2.423532248,-30,0,-27,0,88,15,5,65,-30
2.444482088,-30,0,0,66,88,15,5,65,-30
2.464426994,-30,0,0,65,88,15,5,65,-30
2.489378214,-30,0,0,65,88,15,5,65,-30
2.511308193,-30,0,-27,0,88,15,5,65,-30
2.530253172,-30,0,-27,0,88,15,5,65,-30
2.550194502,-30,0,-55,0,88,15,5,65,-30
2.573131323,-30,0,0,65,88,15,5,65,-30
2.591083527,-30,0,-111,0,88,15,5,65,-30
2.612041235,-30,0,0,65,88,15,5,65,-30
2.632971764,-30,0,83,255,88,15,5,65,-30
2.656909227,-30,0,27,206,88,15,5,65,-30
2.677859783,-30,0,83,255,88,15,5,65,-30
2.699825048,-30,0,-27,0,88,15,5,65,-30
2.718742132,-30,0,0,65,88,15,5,65,-30
2.73869133,-30,0,27,205,88,15,5,65,-30
2.761684179,-30,0,0,65,88,15,5,65,-30
2.780579567,-30,0,-27,0,88,15,5,65,-30
2.800573111,-29,0,-138,0,88,15,5,65,-30
2.825470686,-30,0,-83,0,88,15,5,65,-30
2.845435619,-30,0,0,65,88,15,5,65,-30
2.866347313,-30,0,0,65,88,15,5,65,-30
2.88828969,-30,0,0,66,88,15,5,65,-30
2.90723896,-30,0,55,255,88,15,5,65,-30
2.927204847,-30,0,0,65,88,15,5,65,-30
2.94921422,-30,0,0,66,88,15,5,65,-30
2.968157053,-30,0,55,255,88,15,5,65,-30
2.993094683,-30,0,-55,0,88,15,5,65,-30
3.01295495,-30,0,-55,0,88,15,5,65,-30
3.033928156,-30,0,27,206,88,15,5,65,-30
3.054842472,-30,0,-55,0,88,15,5,65,-30
3.075796604,-30,0,27,205,88,15,5,65,-30
3.095735073,-30,0,111,255,88,15,5,65,-30
3.115679264,-30,0,0,65,88,15,5,65,-30
3.138620138,-30,0,0,66,88,15,5,65,-30
3.156620502,-30,0,-55,0,88,15,5,65,-30
3.181504965,-30,0,27,205,88,15,5,65,-30
3.201449871,-30,0,55,255,88,15,5,65,-30
3.222396612,-30,0,0,65,88,15,5,65,-30
3.304174662,-30,0,27,206,88,15,5,65,-30
3.316143274,-30,0,-55,0,88,15,5,65,-30
3.338086128,-30,0,0,65,88,15,5,65,-30
3.349056959,-30,0,-27,0,88,15,5,65,-30
3.371028423,-30,0,0,65,88,15,5,65,-30
3.381969929,-30,0,0,66,88,15,5,65,-30
3.403908014,-30,0,0,66,88,15,5,65,-30
3.414881229,-30,0,-27,0,88,15,5,65,-30
3.42585206,-29,0,-111,0,88,15,5,65,-30
3.448787689,-30,0,27,205,88,15,5,65,-30
3.459761381,-30,0,0,65,88,15,5,65,-30
3.471729279,-30,0,-27,0,88,15,5,65,-30
3.497664928,-30,30,0,255,88,15,5,65,0
3.517603874,-30,30,0,255,88,15,5,65,0
3.537550449,-29,29,0,255,88,15,5,65,0
3.559491396,-29,29,-55,222,88,15,5,65,0
3.578441381,-28,28,-55,214,88,15,5,65,0
3.599385023,-27,27,-83,53,88,15,5,65,0
3.6213274,-25,25,-83,30,88,15,5,65,0
3.640276909,-24,24,-83,8,88,15,5,65,0
3.661231279,-22,22,-83,0,88,15,5,65,0
3.683162212,-20,20,0,255,88,15,5,65,0
3.706100464,-19,19,-55,73,88,15,5,65,0
3.729076624,-18,18,-27,198,88,15,5,65,0
3.746996164,-17,17,0,255,88,15,5,65,0
3.766967058,-16,16,-27,169,88,15,5,65,0
3.787890911,-15,15,0,255,88,15,5,65,0
3.809824467,-14,14,-83,0,88,15,5,65,0
3.828805447,-14,14,0,255,88,15,5,65,0
3.848750114,-13,13,-27,124,88,15,5,65,0
3.873651981,-12,12,0,248,88,15,5,65,0
3.894601583,-11,11,0,241,88,15,5,65,0
3.91753602,-10,10,-83,0,88,15,5,65,0
3.93548727,-10,10,-83,0,88,15,5,65,0
3.955435038,-9,9,-83,0,88,15,5,65,0
3.976377487,-9,9,0,200,88,15,5,65,0
3.996326447,-8,8,0,196,88,15,5,65,0
4.017266989,-8,8,-27,49,88,15,5,65,0
4.041203737,-7,7,-55,0,88,15,5,65,0
4.062147617,-7,7,0,173,88,15,5,65,0
4.083091497,-7,7,27,255,88,15,5,65,0
4.105032444,-7,7,-27,36,88,15,5,65,0
4.122984648,-7,7,0,171,88,15,5,65,0
4.144941092,-7,7,0,170,88,15,5,65,0
4.166866302,-7,7,0,170,88,15,5,65,0
4.184818506,-7,7,27,255,88,15,5,65,0
4.205764532,-6,6,0,166,88,15,5,65,0
4.229698896,-6,6,0,166,88,15,5,65,0
4.25064683,-6,6,-27,23,88,15,5,65,0
4.270590544,-6,6,-27,21,88,15,5,65,0
4.293534279,-6,6,0,158,88,15,5,65,0
4.312483549,-6,6,0,158,88,15,5,65,0
4.409219265,-6,6,0,158,88,15,5,65,0
4.430163383,-6,6,0,155,88,15,5,65,0
4.441133022,-6,6,0,155,88,15,5,65,0
4.462161541,-5,5,-27,14,88,15,5,65,0
4.473047733,-5,5,0,151,88,15,5,65,0
4.493991852,-5,5,55,255,88,15,5,65,0
4.505960226,-5,5,0,147,88,15,5,65,0
4.526939154,-5,5,27,255,88,15,5,65,0
4.538873672,-5,5,27,255,88,15,5,65,0
