Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.000998497,-31,1,0,91,88,15,10,65,-30
0.022944689,-31,1,-27,0,88,15,10,65,-30
0.03491044,-31,1,27,255,88,15,10,65,-30
0.0578475,-31,1,0,92,88,15,10,65,-30
0.068817139,-31,1,0,92,88,15,10,65,-30
0.079789162,-31,1,27,255,88,15,10,65,-30
0.101727009,-31,1,0,92,88,15,10,65,-30
0.112698317,-31,1,-55,0,88,15,10,65,-30
0.134638786,-31,1,-27,0,88,15,10,65,-30
0.145612955,-31,1,0,93,88,15,10,65,-30
0.156579971,-31,1,0,91,88,15,10,65,-30
0.178536654,-31,1,-55,0,88,15,10,65,-30
0.189497709,-31,1,-27,0,88,15,10,65,-30
0.211493015,-31,1,0,92,88,15,10,65,-30
0.222464323,-31,1,-27,0,88,15,10,65,-30
0.244401217,-31,1,55,255,88,15,10,65,-30
0.256313801,-31,1,-55,0,88,15,10,65,-30
0.277257919,-31,1,-27,0,88,15,10,65,-30
0.297205687,-32,2,27,255,88,15,10,65,-30
0.32114172,-32,2,55,255,88,15,10,65,-30
0.342089415,-31,1,27,255,88,15,10,65,-30
0.362032413,-31,1,-27,0,88,15,10,65,-30
0.384007215,-31,1,27,255,88,15,10,65,-30
0.403919935,-31,1,-27,0,88,15,10,65,-30
0.42386508,-31,1,-27,0,88,15,10,65,-30
0.44584012,-31,1,27,255,88,15,10,65,-30
0.464758158,-31,1,-27,0,88,15,10,65,-30
0.489690065,-31,1,27,255,88,15,10,65,-30
0.509699583,-31,1,0,91,88,15,10,65,-30
0.530606508,-31,1,-27,0,88,15,10,65,-30
0.550525665,-31,1,-27,0,88,15,10,65,-30
0.573464394,-32,2,55,255,88,15,10,65,-30
0.591416359,-31,1,0,91,88,15,10,65,-30
0.612389803,-31,1,27,255,88,15,10,65,-30
0.634337664,-31,1,0,93,88,15,10,65,-30
0.657241821,-32,2,83,255,88,15,10,65,-30
0.679236412,-32,2,27,255,88,15,10,65,-30
0.69813323,-31,1,0,93,88,15,10,65,-30
0.719076395,-32,2,27,255,88,15,10,65,-30
0.741019964,-31,1,-83,0,88,15,10,65,-30
