Time,Arm_Angle,Error,Delta,MotorCmd,Headroom,K_P,K_D,Motor_Speed(PWM),Desired_Angle
0.021918058,-29,0,0,62,88,5,5,65,-30
0.040881395,-29,0,27,201,88,5,5,65,-30
0.060795307,-29,0,27,202,88,5,5,65,-30
0.085726738,-29,0,27,201,88,5,5,65,-30
0.106671095,-29,0,0,62,88,5,5,65,-30
0.126617432,-29,0,-27,0,88,5,5,65,-30
0.148558378,-29,0,83,255,88,5,5,65,-30
0.167541265,-29,0,55,255,88,5,5,65,-30
0.188498497,-29,0,0,62,88,5,5,65,-30
0.210393429,-29,0,27,201,88,5,5,65,-30
0.229351044,-29,0,55,255,88,5,5,65,-30
0.253281116,-29,0,-27,0,88,5,5,65,-30
0.27422452,-29,0,0,62,88,5,5,65,-30
0.294168472,-29,0,27,201,88,5,5,65,-30
0.315114737,-29,0,0,62,88,5,5,65,-30
0.336087227,-29,0,-27,0,88,5,5,65,-30
0.356005192,-29,0,0,62,88,5,5,65,-30
0.376948833,-29,0,-55,0,88,5,5,65,-30
0.398890495,-29,0,27,201,88,5,5,65,-30
0.417838335,-29,0,55,255,88,5,5,65,-30
0.441781521,-29,0,55,255,88,5,5,65,-30
0.462720394,-29,0,55,255,88,5,5,65,-30
0.482666016,-29,0,27,202,88,5,5,65,-30
0.503611326,-29,0,55,255,88,5,5,65,-30
0.524590492,-29,0,27,202,88,5,5,65,-30
0.544532776,-29,0,-27,0,88,5,5,65,-30
0.564478874,-29,0,27,201,88,5,5,65,-30
0.586420774,-29,0,0,63,88,5,5,65,-30
0.610323191,-29,0,-27,0,88,5,5,65,-30
0.632265329,-29,0,27,201,88,5,5,65,-30
0.651232719,-29,0,0,62,88,5,5,65,-30
0.672202349,-29,0,-27,0,88,5,5,65,-30
0.693134785,-29,0,-111,0,88,5,5,65,-30
0.77687788,-29,0,0,62,88,5,5,65,-30
0.787847996,-29,0,27,201,88,5,5,65,-30
0.797870874,-29,0,-27,0,88,5,5,65,-30
0.819767237,-29,0,27,201,88,5,5,65,-30
0.831772327,-29,0,0,62,88,5,5,65,-30
0.853673458,-29,0,55,255,88,5,5,65,-30
0.865640879,-29,0,138,255,88,5,5,65,-30
0.875646591,-29,0,27,202,88,5,5,65,-30
0.897556067,-29,0,-27,0,88,5,5,65,-30
0.908529282,-29,0,-27,0,88,5,5,65,-30
0.929470301,-29,0,0,63,88,5,5,65,-30
0.941447735,-29,0,0,62,88,5,5,65,-30
0.966371536,-29,0,0,62,88,5,5,65,-30
0.987315655,-29,0,-111,0,88,5,5,65,-30
1.009255409,-29,0,0,62,88,5,5,65,-30
1.028205156,-29,0,-27,0,88,5,5,65,-30
1.048184156,-29,0,0,62,88,5,5,65,-30
1.070093155,-29,0,0,62,88,5,5,65,-30
1.089062929,-29,0,27,201,88,5,5,65,-30
1.110013008,-29,0,55,255,88,5,5,65,-30
1.131928444,-29,0,-27,0,88,5,5,65,-30
1.154872894,-29,0,0,63,88,5,5,65,-30
1.174813747,-29,0,0,62,88,5,5,65,-30
1.196787119,-29,0,0,62,88,5,5,65,-30
1.216701984,-29,0,0,62,88,5,5,65,-30
1.236679792,-29,0,83,255,88,5,5,65,-30
1.258620739,-29,0,-27,0,88,5,5,65,-30
1.277537107,-29,0,0,62,88,5,5,65,-30
1.298482895,-29,0,-55,0,88,5,5,65,-30
1.323417425,-29,0,0,62,88,5,5,65,-30
1.343394279,-29,0,0,62,88,5,5,65,-30
1.36530447,-29,0,0,62,88,5,5,65,-30
1.384252071,-29,0,0,62,88,5,5,65,-30
1.404201269,-29,0,0,62,88,5,5,65,-30
1.42518425,-29,0,27,201,88,5,5,65,-30
1.447085142,-29,0,83,255,88,5,5,65,-30
1.466034889,-29,0,27,202,88,5,5,65,-30
1.486978769,-29,0,-27,0,88,5,5,65,-30
1.510918856,-29,0,0,62,88,5,5,65,-30
1.531858206,-29,0,0,62,88,5,5,65,-30
1.553806782,-29,0,-27,0,88,5,5,65,-30
1.572754622,-29,0,-27,0,88,5,5,65,-30
1.592696428,-29,0,-27,0,88,5,5,65,-30
1.613637686,-29,0,-27,0,88,5,5,65,-30
1.633586168,-29,0,-27,0,88,5,5,65,-30
1.654536486,-29,0,0,62,88,5,5,65,-30
1.679461956,-29,0,-138,0,88,5,5,65,-30
1.699420214,-29,0,27,203,88,5,5,65,-30
1.720353842,-29,0,-27,0,88,5,5,65,-30
1.742294312,-29,0,55,255,88,5,5,65,-30
1.761245012,-29,0,55,255,88,5,5,65,-30
1.781190395,-29,0,0,62,88,5,5,65,-30
1.86596179,-29,0,27,201,88,5,5,65,-30
1.877933502,-29,0,-27,0,88,5,5,65,-30
1.899872303,-29,0,0,62,88,5,5,65,-30
1.910846233,-29,0,0,62,88,5,5,65,-30
1.921815634,-29,0,27,202,88,5,5,65,-30
1.94475174,-29,0,-27,0,88,5,5,65,-30
1.95475626,-29,0,-83,0,88,5,5,65,-30
1.977663994,-29,0,27,201,88,5,5,65,-30
1.988635778,-29,0,-27,0,88,5,5,65,-30
2.000602245,-29,0,-27,0,88,5,5,65,-30
2.022547007,-29,0,-111,0,88,5,5,65,-30
2.03551507,-29,0,0,62,88,5,5,65,-30
2.056473017,-29,0,0,62,88,5,5,65,-30
2.076401949,-29,0,27,201,88,5,5,65,-30
2.097343922,-29,0,0,62,88,5,5,65,-30
2.119284391,-29,0,0,62,88,5,5,65,-30
2.138247013,-29,0,-166,0,88,5,5,65,-30
2.158180952,-29,0,55,255,88,5,5,65,-30
2.180123806,-29,0,0,63,88,5,5,65,-30
2.199071646,-29,0,27,202,88,5,5,65,-30
2.224011898,-29,0,0,63,88,5,5,65,-30
2.243952274,-29,0,27,203,88,5,5,65,-30
2.264895916,-29,0,-55,0,88,5,5,65,-30
2.286837816,-29,0,-27,0,88,5,5,65,-30
2.305857658,-29,0,27,202,88,5,5,65,-30
2.326732159,-29,0,0,62,88,5,5,65,-30
2.34667778,-29,0,0,62,88,5,5,65,-30
2.368619919,-29,0,27,201,88,5,5,65,-30
2.391643763,-29,0,-27,0,88,5,5,65,-30
2.413527727,-29,0,-55,0,88,5,5,65,-30
2.432449102,-29,0,0,62,88,5,5,65,-30
2.453391314,-29,0,-138,0,88,5,5,65,-30
2.474353313,-29,0,-55,0,88,5,5,65,-30
2.494324684,-29,0,0,62,88,5,5,65,-30
2.515227079,-29,0,27,201,88,5,5,65,-30
2.536169052,-29,0,0,62,88,5,5,65,-30
2.556125641,-29,0,0,62,88,5,5,65,-30
2.580051661,-29,0,27,201,88,5,5,65,-30
2.601995468,-29,0,-27,0,88,5,5,65,-30
2.621942282,-29,0,0,62,88,5,5,65,-30
2.64188695,-29,0,27,201,88,5,5,65,-30
2.662860394,-29,0,55,255,88,5,5,65,-30
2.682779074,-29,0,-27,0,88,5,5,65,-30
2.702724695,-29,0,83,255,88,5,5,65,-30
2.7256639,-29,29,-27,73,88,5,5,65,0
2.748601675,-29,29,0,212,88,5,5,65,0
2.768580198,-29,29,0,211,88,5,5,65,0
2.790523767,-29,29,55,255,88,5,5,65,0
2.809452295,-29,29,0,210,88,5,5,65,0
2.83038187,-28,28,138,255,88,5,5,65,0
2.851325989,-28,28,0,205,88,5,5,65,0
2.871273756,-26,26,0,198,88,5,5,65,0
2.95405221,-26,26,-83,0,88,5,5,65,0
2.975025415,-25,25,-138,0,88,5,5,65,0
2.986024857,-25,25,0,192,88,5,5,65,0
3.007924318,-24,24,-27,48,88,5,5,65,0
3.018877983,-24,24,-83,0,88,5,5,65,0
3.040820122,-23,23,-111,0,88,5,5,65,0
3.051822186,-23,23,-27,41,88,5,5,65,0
3.062761068,-22,22,0,178,88,5,5,65,0
3.08470273,-22,22,0,176,88,5,5,65,0
3.094705343,-22,22,83,255,88,5,5,65,0
3.116615772,-21,21,-55,0,88,5,5,65,0
3.127586603,-21,21,0,171,88,5,5,65,0
3.148561239,-20,20,-111,0,88,5,5,65,0
3.165491581,-20,20,27,255,88,5,5,65,0
3.186429977,-20,20,0,166,88,5,5,65,0
3.207386255,-20,20,0,165,88,5,5,65,0
3.227351427,-19,19,0,163,88,5,5,65,0
3.248264551,-19,19,0,162,88,5,5,65,0
3.273203373,-19,19,27,255,88,5,5,65,0
3.293144703,-19,19,-27,22,88,5,5,65,0
3.313091516,-18,18,27,255,88,5,5,65,0
3.335031271,-18,18,0,158,88,5,5,65,0
3.354979753,-18,18,0,157,88,5,5,65,0
3.374925852,-18,18,0,156,88,5,5,65,0
3.396865845,-18,18,83,255,88,5,5,65,0
3.415816545,-17,17,27,255,88,5,5,65,0
3.440754414,-17,17,0,152,88,5,5,65,0
3.462706327,-17,17,27,255,88,5,5,65,0
3.481640816,-17,17,0,151,88,5,5,65,0
3.501586199,-17,17,0,150,88,5,5,65,0
3.523580551,-16,16,-111,0,88,5,5,65,0
3.542476654,-16,16,0,147,88,5,5,65,0
3.563450813,-16,16,0,147,88,5,5,65,0
3.585395336,-16,16,0,147,88,5,5,65,0
3.604345322,-16,16,27,255,88,5,5,65,0
3.629243851,-16,16,27,255,88,5,5,65,0
3.649190664,-16,16,0,145,88,5,5,65,0
3.670134544,-15,15,-55,0,88,5,5,65,0
3.690099716,-15,15,0,143,88,5,5,65,0
3.713021278,-15,15,0,143,88,5,5,65,0
3.731002569,-15,15,0,142,88,5,5,65,0
